file,province,main_sector,subsector,hazard,n_variables,n_with_legacy_weight,n_new_variables,n_rows,panel_overrides
generated/Northwestern/HUMAN_SETTLEMENTS_LANDSLIDE_NWE_V1_upload_template.xlsx,Northwestern,Human Settlements Sector,,Landslide,12,8,4,46,"0 add, 0 retire"
generated/Northwestern/INDUSTRY_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Industry Sector,,Drought,14,11,3,46,"0 add, 0 retire"
generated/Northwestern/INDUSTRY_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Industry Sector,,Flood,15,11,4,46,"0 add, 0 retire"
generated/Northwestern/IRRIGATION_WATER_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Water Sector,Irrigation Water,Drought,9,4,5,46,"0 add, 0 retire"
generated/Northwestern/IRRIGATION_WATER_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Water Sector,Irrigation Water,Flood,10,4,6,46,"0 add, 0 retire"
generated/Northwestern/PADDY_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Agriculture Sector,Paddy,Drought,12,7,5,46,"0 add, 0 retire"
generated/Northwestern/PADDY_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Agriculture Sector,Paddy,Flood,15,8,7,46,"0 add, 0 retire"
generated/Northwestern/PIG_AND_SHEEP_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Pig and Sheep Farming,Drought,21,10,11,46,"0 add, 0 retire"
generated/Northwestern/PIG_AND_SHEEP_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Pig and Sheep Farming,Flood,22,10,12,46,"0 add, 0 retire"
generated/Northwestern/POTABLE_WATER_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Water Sector,Potable Water,Drought,12,9,3,46,"0 add, 0 retire"
generated/Northwestern/POTABLE_WATER_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Water Sector,Potable Water,Flood,11,7,4,46,"0 add, 0 retire"
generated/Northwestern/POTABLE_WATER_LANDSLIDE_NWE_V1_upload_template.xlsx,Northwestern,Water Sector,Potable Water,Landslide,12,8,4,46,"0 add, 0 retire"
generated/Northwestern/POULTRY_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Poultry Farming,Drought,24,13,11,46,"0 add, 0 retire"
generated/Northwestern/POULTRY_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Poultry Farming,Flood,25,13,12,46,"0 add, 0 retire"
generated/Northwestern/TOURISM_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Tourism Sector,,Drought,11,6,5,46,"0 add, 0 retire"
generated/Northwestern/TOURISM_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Tourism Sector,,Flood,12,6,6,46,"0 add, 0 retire"
generated/Northwestern/TRANSPORTATION_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Transportation Sector,,Flood,14,7,7,46,"0 add, 0 retire"
generated/Northwestern/TRANSPORTATION_LANDSLIDE_NWE_V1_upload_template.xlsx,Northwestern,Transportation Sector,,Landslide,10,7,3,46,"0 add, 0 retire"
generated/Sabaragamuwa/BUFFALO_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Buffalo Farming,Drought,18,8,10,29,"0 add, 0 retire"
generated/Sabaragamuwa/BUFFALO_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Buffalo Farming,Flood,19,9,10,29,"0 add, 0 retire"
generated/Sabaragamuwa/CATTLE_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Cattle Farming,Drought,18,7,11,29,"0 add, 0 retire"
generated/Sabaragamuwa/CATTLE_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Cattle Farming,Flood,19,8,11,29,"0 add, 0 retire"
generated/Sabaragamuwa/COCONUT_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Agriculture Sector,Coconut,Drought,10,7,3,29,"0 add, 0 retire"
generated/Sabaragamuwa/GOAT_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Goat Farming,Drought,18,8,10,29,"0 add, 0 retire"
generated/Sabaragamuwa/GOAT_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Goat Farming,Flood,19,9,10,29,"0 add, 0 retire"
generated/Sabaragamuwa/HUMAN_SETTLEMENTS_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Human Settlements Sector,,Drought,16,15,1,29,"0 add, 0 retire"
