proposed_code,canonical_name,raw_description_normalized
PCT_HH_CBO_CONNETIONS_RURAL,% HH - CBO Connetions ( Rural water supply project),% hh cbo connetions rural water supply project
PCT_HH_CBO_CONNETIONS_RURAL,% HH - CBO Connetions ( Rural water supply project),% of hh cbo connections rural water supply project
PCT_HH_FED_BY_SAFE,% of HH fed by Safe Well,% of hh fed by safe well
PCT_HH_FED_BY_SAFE,% of HH fed by Safe Well,% of hh fed by safe wells
PCT_POPULTRY_FARMERS_LIVESTOCK_OPERATORS,% of Popultry Farmers from total livestock Operators,% of popultry farmers from total livestock operators
PCT_POPULTRY_FARMERS_LIVESTOCK_OPERATORS,% of Popultry Farmers from total livestock Operators,% of poultry farmers from total livestock operators
PCT_POULTRY_RAISING_FAMERS,% of Poultry raising famers,% of poultry raising famers
PCT_POULTRY_RAISING_FAMERS,% of Poultry raising famers,% of poultry raising framers
PCT_SWINE_SHEEP_RAISING_FARMERS,% of Swine/Sheep raising farmers,% of swine sheep raising farmers
PCT_TEMPORARY_CROP_OPERATORS_AGRICULTURAL,% of Temporary Crop Operators from total  Agricultural Operators,% of temporary crop operators from total agricultural operators
PCT_SHEEP_FARMERS_LIVESTOCK_FARMERS,%_Sheep Farmers from total livestock farmers,% sheep farmers from total livestock farmers
ANNUAL_AVERAGE_VISITORS_MAIN_TOURISM,Annual average visitors of main tourism destination,annual average visitors of main tourism destination
ANNUAL_AVERAGE_VISITORS_MAIN_TOURISM,Annual average visitors of main tourism destination,annual average visitors of main tourism destinations
ANNUAL_FISH_STOCKING_KG,Annual Fish Stocking (Kg),annual fish stocking kg
ANNUAL_PORK_PRODUCTION,Annual Pork Production,annual pork production
AVERAGE_AMOUNT_BUFFALO_MILK_PRODUCTIO,Average of amount of Buffalo milk productio/day(L),average of amount of buffalo milk productio day l
AVERAGE_AMOUNT_COW_MILK_PRODUCTION,Average of amount of cow milk production /day(L),average of amount of cow milk production day l
DUROCK_PCT_BREEDS,Durock % - BREEDS,durock % breeds
FISH_PRODUCTION_KG,Fish Production (Kg),fish production kg
HARVESTED_PADDY_EXTENT_YALA_MAHA,Harvested Paddy Extent (yala and Maha),harvested paddy extent yala and maha
LAND_RACEPCT_BREEDS,Land Race% - BREEDS,land race% breeds
LANDSLIDE_INDEX,Landslide Index,landslide index
LARGE_WHITEPCT_BREEDS,Large white% _ BREEDS,large white% breeds
LOCAL_PCT_BREEDS,local % - BREEDS,local % breeds
MITCH_GOATS_MONTHLY_MILK_PRODUCTION,Mitch Goats' Monthly Milk Production (l),mitch goats monthly milk production l
MONTHLY_MILK_PRODUCTION_L,Monthly Milk Production (l),monthly milk production l
MONTHLY_PORK_PRODUCTION_KG,Monthly Pork Production (Kg),monthly pork production kg
MUTTON_PRODUCTION_KG_DAY,Mutton Production (Kg)/day,mutton production kg day
BACKYARD_HATCHERIES_DOC_PRODUCTION_WEEKLY,No. of Backyard hatcheries -DOC production / weekly,no of backyard hatcheries doc production weekly
BACKYARD_POULTRY_FARMS,No. of Backyard Poultry Farms,no of backyard poultry farms
BROILER_FARMS,No. of Broiler Farms,no of broiler farms
BUFFALO_FARMS,No. of Buffalo Farms,no of buffalo farms
BUFFALO_MILK_PRODUCTION_FARMS,No.of Buffalo Milk Production Farms,no of buffalo milk production farms
COCK_HENS,No. of Cock /Hens,no of cock hens
EGG_COLLECTORS,No. of egg collectors,no of egg collectors
EGG_LAYING_HENS,No. of Egg Laying Hens,no of egg laying hens
EXISTING_MINOR_IRRI_SCHEMES,No. of Existing Minor Irri. Schemes,no of existing minor irri schemes
FARM_SHOP,No. of farm shop,no of farm shop
FARMS_GOAT_MILK_PROCESSORS,No. of  farms goat milk processors,no of farms goat milk processors
FARMS_SELLING_GOAT_MILK,No. of farms selling goat milk,no of farms selling goat milk
FISHERMEN,No. of Fishermen,no of fishermen
GOATS_FARMS,No. of Goats farms,no of goats farms
HH_CBO_RURAL_WATER_SUPPLY,No.of HH - CBO (Rural water supply project),no of hh cbo rural water supply project
LAYER_FARMS,No. of Layer Farms,no of layer farms
LIVE_BIRD_COLLECTORS,No.of live bird collectors,no of live bird collectors
MEAT_PROCESSING_PLANTS,No. of meat processing plants,no of meat processing plants
NEAT_CATTLE_FARMS,No.of Neat Cattle Farms,no of neat cattle farms
NEAT_CATTLE_MILK_PRODUCTION_FARMS,No.of Neat Cattle Milk Production Farms,no of neat cattle milk production farms
PIG_FARMS,No. of Pig Farms,no of pig farms
POULTRY_FEED_MANUFACTURES_COMMERCIAL,No. of poultry feed manufactures(commercial),no of poultry feed manufactures commercial
POULTRY_FEED_SELF_MIXED_MIXERS,No. of poultry feed (self mixed) mixers,no of poultry feed self mixed mixers
SHEEP_FARMS,No. of Sheep Farms,no of sheep farms
SLAUGHTER_HOUSES_MUNICIPAL,No. of slaughter houses ( municipal ),no of slaughter houses municipal
SMALL_SCALE_POULTRY_PROCESSING_ESTABLISHMENT,No. of small scale poultry processing establishments ( manual processors),no of small scale poultry processing establishments manual processors
TOURISM_ATTRACTION_PLACES,No. of Tourism Attraction places,no of tourism attraction places
OTHER_FIELD_CROPS_EXTENT,Other Field Crops Extent,other field crops extent
PADDY_PRODUCTION_MT_MAHA_YALA,Paddy Production (Mt)Maha/Yala - 2022/2023,paddy production mt maha yala 2022 2023
PORK_PRODUCTION_MONTHLY,Pork Production (Monthly),pork production monthly
TEMPORARY_CROP_OPERATORS,#  Temporary Crop Operators,temporary crop operators
IRRIGATED_PADDY_AREA,Total irrigated paddy area,total irrigated paddy area
NEAT_CATTLES,Total Neat Cattles,total neat cattles
TANKS_ACTIVE_INLAND_FISHERY,Total_No.of Tanks active for Inland Fishery,total no of tanks active for inland fishery
SHEEPS,Total Sheeps,total sheeps
VEGETABLES_EXTENT,Vegetables Extent,vegetables extent
PCT_HH_CBO_CONNECTIONS,% of HH - CBO Connections,% of hh cbo connections
PCT_HH_HAVING_PIPE_BORN_2,% of HH having Pipe born_NWSDB Domestic,% of hh having pipe born nwsdb domestic
PCT_HH_HAVING_PIPE_BORN_3,%  of HH having Pipe born water-NWSDB Domestic,% of hh having pipe born water nwsdb domestic
ANNUAL_COCO_PRODUCTION_MN,Annual_Coco_Production (No. Mn),annual coco production no mn
MAX_DROUGHT_AFFECTED_PEOPLE_DURING_4,"Max # of drought affected People during 1974 to 2022 (1974 -2004, 25%, 2005 -2022, 75%) But WP taken only 2005 to 2022 period",max of drought affected people during 1974 to 2022 1974 2004 25% 2005 2022 75% but wp taken only 2005 to 2022 period
MAX_DROUGHT_AFFECTED_PEOPLE_DURING_5,Max # of drought affected People during 1974 to 2022 ( But WP only 2005 to 2022),max of drought affected people during 1974 to 2022 but wp only 2005 to 2022
MAX_DROUGHT_AFFECTED_PEOPLE_DURING1974,Max # of drought affected People during1974 to 2022,max of drought affected people during1974 to 2022
HH_CBO_CONNECTIONS_RURAL_WATER,No. of HH - CBO Connections (Rural Water Supply Projects),no of hh cbo connections rural water supply projects
RAIN_FED_PADDY_LANDS,Rain-fed paddy lands,rain fed paddy lands
TEA_EXTENT_HA,Tea extent (ha),tea extent ha
PLANTS_NOS,Total _Plants (Nos.),total plants nos
