province,district,ds_code,ds_division,ds_division_si,ds_code_official_num,ds_code_legacy,split_from,lon,lat,level,source
North Central,Polonnaruwa,PO3,Higurakgoda,හිඟුරක්ගොඩ,271,NCE-025,,80.825266,8.142538,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Polonnaruwa,PO4,Lankapura,ලංකාපුර,272,NCE-026,,81.077457,8.062303,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Polonnaruwa,PO5,Medirigiriya,මැදිරිගිරිය,273,NCE-027,,81.055542,8.192922,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Polonnaruwa,PO6,Thamankaduwa,තමන්කඩුව,274,NCE-028,,80.982532,7.868,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Polonnaruwa,PO7,Welikanda,වැලිකන්ද,275,NCE-029,,81.227901,8.060154,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA1,Delft,ඩෙල්ෆ්,127,NOR-001,,79.690383,9.51545,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA2,Islands North(kayts),දුපත උතුර (කයිට්ස්),130,NOR-002,,79.869781,9.669863,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA3,Islands South(velanai),දුපත දකුණ (වෙලනයි),138,NOR-003,,79.967102,9.624367,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA4,Jaffna,යාපනය,128,NOR-004,,80.010893,9.670388,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA5,Karainagar,කාරෛනගර්,328,NOR-005,,79.87637,9.735398,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA6,Nallur,නල්ලූර්,133,NOR-006,,80.049264,9.661755,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA7,Thenmaradchi(chavakachcheri),තේන්මාරච්චි (ජාවකච,126,NOR-007,,80.181758,9.671357,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA8,Vadamaradchchi East,වඩමාරච්චි නැගෙනහි,132,NOR-008,,80.398573,9.618998,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA9,Vadamaradchchi South-west(karaveddy),වඩමාරච්චි නිරිත (ක,129,NOR-009,,80.190359,9.772721,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA10,Vadamaradchi North(point Pedro),වඩමාරච්චි උතුර (පේ,134,NOR-010,,80.24357,9.801578,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA11,Valikamam East(kopay),වලිකාමම් නැගෙනහිර,131,NOR-011,,80.112365,9.74189,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA12,Valikamam North(thllippalai),වලිකාමම් උතුර (තෙල,136,NOR-012,,80.049504,9.787625,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
