province,main_sector,subsector,hazard,variable_code,action,weight_pct,basis,note
Northern,Livestock Sector,Buffalo Farming,Flood,VERY_WET_DAYS_95TH_PERCENTILE,add,,component of unweighted VERY_WET_DAYS; no weight to split,added alongside VERY_WET_DAYS
Northern,Livestock Sector,Cattle Farming,Drought,DROUGHT_EVENTS_1974_TO_2004,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
Northern,Livestock Sector,Cattle Farming,Drought,DROUGHT_EVENTS_2005_TO_2022,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
Northern,Livestock Sector,Cattle Farming,Flood,FLOOD_EVENTS_1974_TO_2004,add,,component of unweighted FLOOD_EVENTS_1974_TO_2023; no weight to split,added alongside FLOOD_EVENTS_1974_TO_2023
Northern,Livestock Sector,Cattle Farming,Flood,FLOOD_EVENTS_2005_TO_2023,add,,component of unweighted FLOOD_EVENTS_1974_TO_2023; no weight to split,added alongside FLOOD_EVENTS_1974_TO_2023
Northern,Livestock Sector,Cattle Farming,Flood,THREE_DAY_CUMULATIVE_RAINFALL,add,,component of unweighted VERY_WET_DAYS; no weight to split,added alongside VERY_WET_DAYS
Northern,Livestock Sector,Cattle Farming,Flood,VERY_WET_DAYS_95TH_PERCENTILE,add,,component of unweighted VERY_WET_DAYS; no weight to split,added alongside VERY_WET_DAYS
Northern,Agriculture Sector,Coconut,Drought,DROUGHT_EVENTS_1974_TO_2004,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
Northern,Agriculture Sector,Coconut,Drought,DROUGHT_EVENTS_2005_TO_2022,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
Northern,Livestock Sector,Goat Farming,Drought,DROUGHT_EVENTS_1974_TO_2004,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
Northern,Livestock Sector,Goat Farming,Drought,DROUGHT_EVENTS_2005_TO_2022,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
Northern,Livestock Sector,Goat Farming,Flood,FLOOD_EVENTS_1974_TO_2004,add,,component of unweighted FLOOD_EVENTS_1974_TO_2023; no weight to split,added alongside FLOOD_EVENTS_1974_TO_2023
Northern,Livestock Sector,Goat Farming,Flood,FLOOD_EVENTS_2005_TO_2023,add,,component of unweighted FLOOD_EVENTS_1974_TO_2023; no weight to split,added alongside FLOOD_EVENTS_1974_TO_2023
Northern,Livestock Sector,Goat Farming,Flood,THREE_DAY_CUMULATIVE_RAINFALL,add,,component of unweighted VERY_WET_DAYS; no weight to split,added alongside VERY_WET_DAYS
Northern,Livestock Sector,Goat Farming,Flood,VERY_WET_DAYS_95TH_PERCENTILE,add,,component of unweighted VERY_WET_DAYS; no weight to split,added alongside VERY_WET_DAYS
Northern,Human Settlements Sector,,Drought,DROUGHT_EVENTS_1974_TO_2004,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
Northern,Human Settlements Sector,,Drought,DROUGHT_EVENTS_2005_TO_2022,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
Northern,Human Settlements Sector,,Drought,MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_1974_TO_2004,add,3.75,derived: 25% of retired MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_1974_TO_2022 (15),replaces MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_1974_TO_2022
Northern,Human Settlements Sector,,Drought,MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_2005_TO_2022,add,11.25,derived: 75% of retired MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_1974_TO_2022 (15),replaces MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_1974_TO_2022
